THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
PO99,PO99-BEDAM-S,PO99,BE ĐẬM,S,,,,,1,37,"4,144,000 đ",
PO99,PO99-BEDAM-M,PO99,BE ĐẬM,M,,,,,0,151,"16,912,000 đ",
PO99,PO99-BEDAM-L,PO99,BE ĐẬM,L,,,,,0,271,"30,352,000 đ",
PO99,PO99-BEDAM-XL,PO99,BE ĐẬM,XL,,,,,0,230,"25,760,000 đ",
14,SƠ MI OXFORD TRƠN,PO102,A THANH,TRƠN,REGULAR,,SƠ MI,SẢN PHẨM CHỦ LỰC,"153,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,,TỒN KHO,TỔNG TIỀN,
PO102,PO102-TRANG-S,PO102,TRẮNG,S,,,,,,0,0 đ,
PO102,PO102-TRANG-M,PO102,TRẮNG,M,,,,,,0,0 đ,
PO102,PO102-TRANG-L,PO102,TRẮNG,L,,,,,,0,0 đ,
PO102,PO102-TRANG-XL,PO102,TRẮNG,XL,,,,,,0,0 đ,
PO102,PO102-XANHNHAT-S,PO102,XANH NHẠT,S,,,,,,0,0 đ,
PO102,PO102-XANHNHAT-M,PO102,XANH NHẠT,M,,,,,,0,0 đ,
PO102,PO102-XANHNHAT-L,PO102,XANH NHẠT,L,,,,,,0,0 đ,
PO102,PO102-XANHNHAT-XL,PO102,XANH NHẠT,XL,,,,,,0,0 đ,
PO102,PO102-XAM-S,PO102,XÁM,S,,,,,,0,0 đ,
PO102,PO102-XAM-M,PO102,XÁM,M,,,,,,0,0 đ,
PO102,PO102-XAM-L,PO102,XÁM,L,,,,,,0,0 đ,
PO102,PO102-XAM-XL,PO102,XÁM,XL,,,,,,0,0 đ,
15,CARLI,PO103,A THANH,TRƠN,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"112,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO103,PO103-TRANG-M,PO103,TRẮNG,M,,,,,1,0,0 đ,
PO103,PO103-TRANG-L,PO103,TRẮNG,L,,,,,1,0,0 đ,
PO103,PO103-TRANG-XL,PO103,TRẮNG,XL,,,,,1,0,0 đ,
PO103,PO103-TRANG-XXL,PO103,TRẮNG,XXL,,,,,1,0,0 đ,
16,DENIS,PO104,A THANH,TRƠN,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"112,000 đ",0,0 đ,0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO104,PO104-DEN-M,PO104,ĐEN,M,,,,,1,0,0 đ,
PO104,PO104-DEN-L,PO104,ĐEN,L,,,,,1,0,0 đ,
PO104,PO104-DEN-XL,PO104,ĐEN,XL,,,,,1,0,0 đ,
PO104,PO104-DEN-XXL,PO104,ĐEN,XXL,,,,,1,0,0 đ,
17,ADEN,PO105,A THANH,TRƠN,REGULAR,,ÁO POLO,SẢN PHẨM CHỦ LỰC,"118,000 đ",53,"6,254,000 đ",0%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO105,PO105-TRANG-M,PO105,TRẮNG,M,,,,,1,0,0 đ,
PO105,PO105-TRANG-L,PO105,TRẮNG,L,,,,,1,12,"1,416,000 đ",
PO105,PO105-TRANG-XL,PO105,TRẮNG,XL,,,,,1,41,"4,838,000 đ",
PO105,PO105-TRANG-XXL,PO105,TRẮNG,XXL,,,,,1,0,0 đ,
PO105,PO105-KEMNHAT-M,PO105,KEM NHẠT,M,,,,,1,0,0 đ,
PO105,PO105-KEMNHAT-M,PO105,KEM NHẠT,L,,,,,1,0,0 đ,
PO105,PO105-KEMNHAT-M,PO105,KEM NHẠT,XL,,,,,1,0,0 đ,
PO105,PO105-KEMNHAT-M,PO105,KEM NHẠT,XXL,,,,,1,0,0 đ,
18,QUẦN KAKI DÀI,PO106,A BẢO,TRƠN,SALANO,,QUẦN DÀI,SẢN PHẨM CHỦ LỰC,"140,000 đ",0,0 đ,0%
